client_code,name,status,age,city,avg_monthly_balance_KZT,date,data_source,type,category,direction,amount,currency
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 12:10:21,transaction,,Продукты питания,,18848.85,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 12:10:35,transaction,,Продукты питания,,12139.34,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:00:58,transaction,,Кафе и рестораны,,5635.01,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:40:05,transaction,,Кафе и рестораны,,5029.07,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 19:00:08,transaction,,Кафе и рестораны,,15408.79,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-05 19:00:39,transaction,,Кафе и рестораны,,5780.32,KZT
1,,,29.0,,92643.0,2025-06-05 20:40:40,transfer,cashback_in,,in,5280.98,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-07 12:10:37,transaction,,Продукты питания,,8455.81,KZT
1,,,29.0,,92643.0,2025-06-08 08:33:36,transfer,cashback_in,,in,16739.44,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-08 12:10:04,transaction,,Продукты питания,,18377.32,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 12:10:42,transaction,,Продукты питания,,16376.04,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 19:00:43,transaction,,Кафе и рестораны,,11841.11,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-11 19:00:49,transaction,,Кафе и рестораны,,4871.81,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 11:30:02,transaction,,Кафе и рестораны,,7584.76,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 15:40:21,transaction,,Кафе и рестораны,,8826.48,KZT
1,,,29.0,,92643.0,2025-06-12 20:30:54,transfer,card_in,,in,5302.73,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-14 12:10:04,transaction,,Продукты питания,,16646.3,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 12:10:12,transaction,,Продукты питания,,14803.48,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 19:00:40,transaction,,Кафе и рестораны,,5725.94,KZT
1,,,29.0,,92643.0,2025-06-16 08:36:24,transfer,cashback_in,,in,23419.74,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-16 12:10:58,transaction,,Продукты питания,,16157.1,KZT
1,,,29.0,,92643.0,2025-06-16 18:32:30,transfer,salary_in,,in,488634.28,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-16 19:00:47,transaction,,Кафе и рестораны,,10877.42,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 12:10:45,transaction,,Продукты питания,,14858.45,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 15:50:07,transaction,,Кафе и рестораны,,5458.05,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 21:00:54,transaction,,Кафе и рестораны,,7686.93,KZT
1,,,29.0,,92643.0,2025-06-19 18:47:24,transfer,card_in,,in,26514.14,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-20 19:00:16,transaction,,Кафе и рестораны,,7548.57,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-21 12:10:45,transaction,,Продукты питания,,15885.65,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-22 17:10:29,transaction,,Кафе и рестораны,,4178.18,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-22 19:00:52,transaction,,Кафе и рестораны,,6584.84,KZT
1,,,29.0,,92643.0,2025-06-22 21:48:23,transfer,card_in,,in,4584.13,KZT
1,,,29.0,,92643.0,2025-06-23 09:51:35,transfer,card_in,,in,8913.18,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-23 12:10:19,transaction,,Продукты питания,,9627.08,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-24 12:10:26,transaction,,Продукты питания,,17239.49,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-24 19:00:26,transaction,,Кафе и рестораны,,3153.41,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-25 12:10:48,transaction,,Продукты питания,,22660.33,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-27 12:10:13,transaction,,Продукты питания,,16151.74,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-28 12:10:40,transaction,,Продукты питания,,8221.22,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-28 14:30:37,transaction,,Кафе и рестораны,,5387.6,KZT
1,,,29.0,,92643.0,2025-06-28 15:59:46,transfer,refund_in,,in,6998.08,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-28 19:00:34,transaction,,Кафе и рестораны,,9348.91,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-29 12:10:14,transaction,,Продукты питания,,21961.69,KZT
1,,,29.0,,92643.0,2025-06-29 14:41:01,transfer,card_in,,in,9223.16,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-29 19:00:20,transaction,,Кафе и рестораны,,8814.28,KZT
1,,,29.0,,92643.0,2025-06-30 09:14:32,transfer,refund_in,,in,31330.57,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-30 17:50:29,transaction,,Кафе и рестораны,,3203.46,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-01 12:10:56,transaction,,Продукты питания,,17391.09,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-01 19:00:37,transaction,,Кафе и рестораны,,11659.3,KZT
1,,,29.0,,92643.0,2025-07-01 21:03:38,transfer,cashback_in,,in,14767.44,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-02 19:00:50,transaction,,Кафе и рестораны,,9388.82,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-03 19:00:46,transaction,,Кафе и рестораны,,9283.14,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-04 12:10:11,transaction,,Продукты питания,,6927.04,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-05 12:10:20,transaction,,Продукты питания,,9387.69,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-06 12:10:25,transaction,,Продукты питания,,17842.63,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-06 19:00:44,transaction,,Кафе и рестораны,,3858.98,KZT
1,,,29.0,,92643.0,2025-07-06 21:52:11,transfer,cashback_in,,in,18139.14,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-07 16:30:50,transaction,,Кафе и рестораны,,6389.65,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-08 15:10:00,transaction,,Кафе и рестораны,,8784.71,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-07-08 19:00:21,transaction,,Кафе и рестораны,,12658.34,KZT
