client_code,name,status,age,city,avg_monthly_balance_KZT,date,data_source,type,category,direction,amount,currency
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-01 13:10:49,transaction,,Смотрим дома,,4716.59,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-01 17:40:30,transaction,,Играем дома,,5095.03,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 08:30:08,transaction,,Смотрим дома,,4043.14,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 08:40:51,transaction,,Играем дома,,5377.36,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:00:58,transaction,,Кафе и рестораны,,5635.01,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:40:05,transaction,,Кафе и рестораны,,5029.07,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 19:00:08,transaction,,Кафе и рестораны,,15408.79,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-05 19:00:39,transaction,,Кафе и рестораны,,5780.32,KZT
1,,,29.0,,92643.0,2025-06-05 20:40:40,transfer,cashback_in,,in,5280.98,KZT
1,,,29.0,,92643.0,2025-06-08 08:33:36,transfer,cashback_in,,in,16739.44,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-08 11:00:21,transaction,,Играем дома,,6371.07,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 09:40:39,transaction,,Смотрим дома,,3120.13,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 11:50:51,transaction,,Смотрим дома,,4709.72,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 19:00:43,transaction,,Кафе и рестораны,,11841.11,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-10 11:30:08,transaction,,Играем дома,,3421.35,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-10 17:20:07,transaction,,Смотрим дома,,4658.13,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-11 19:00:49,transaction,,Кафе и рестораны,,4871.81,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 11:30:02,transaction,,Кафе и рестораны,,7584.76,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 13:10:51,transaction,,Смотрим дома,,2749.59,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 15:40:21,transaction,,Кафе и рестораны,,8826.48,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 16:50:55,transaction,,Играем дома,,5907.11,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 17:30:34,transaction,,Играем дома,,4640.8,KZT
1,,,29.0,,92643.0,2025-06-12 20:30:54,transfer,card_in,,in,5302.73,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 21:40:57,transaction,,Смотрим дома,,4246.22,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-14 13:50:43,transaction,,Смотрим дома,,4223.9,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 09:50:32,transaction,,Играем дома,,4675.19,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 10:30:00,transaction,,Путешествия,,39623.64,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 19:00:40,transaction,,Кафе и рестораны,,5725.94,KZT
1,,,29.0,,92643.0,2025-06-16 08:36:24,transfer,cashback_in,,in,23419.74,KZT
1,,,29.0,,92643.0,2025-06-16 18:32:30,transfer,salary_in,,in,488634.28,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-16 19:00:47,transaction,,Кафе и рестораны,,10877.42,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 10:10:19,transaction,,Играем дома,,6379.4,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 15:50:07,transaction,,Кафе и рестораны,,5458.05,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 19:10:33,transaction,,Играем дома,,5416.35,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-18 21:00:54,transaction,,Кафе и рестораны,,7686.93,KZT
1,,,29.0,,92643.0,2025-06-19 18:47:24,transfer,card_in,,in,26514.14,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-20 19:00:16,transaction,,Кафе и рестораны,,7548.57,KZT
