client_code,name,status,age,city,avg_monthly_balance_KZT,date,data_source,type,category,direction,amount,currency
1,,,29.0,,92643.0,2025-06-01 11:40:16,transfer,card_out,,out,9359.56,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-01 13:10:49,transaction,,Смотрим дома,,4716.59,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-01 17:40:30,transaction,,Играем дома,,5095.03,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 08:30:08,transaction,,Смотрим дома,,4043.14,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 08:40:51,transaction,,Играем дома,,5377.36,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 12:10:21,transaction,,Продукты питания,,18848.85,KZT
1,,,29.0,,92643.0,2025-06-02 13:10:59,transfer,card_out,,out,17590.68,KZT
1,,,29.0,,92643.0,2025-06-02 20:23:02,transfer,card_out,,out,19677.33,KZT
1,,,29.0,,92643.0,2025-06-03 09:50:44,transfer,card_out,,out,37686.28,KZT
1,,,29.0,,92643.0,2025-06-03 14:17:12,transfer,card_out,,out,7880.48,KZT
1,,,29.0,,92643.0,2025-06-03 14:54:58,transfer,p2p_out,,out,34847.69,KZT
1,,,29.0,,92643.0,2025-06-04 11:44:11,transfer,card_out,,out,15835.32,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 12:10:35,transaction,,Продукты питания,,12139.34,KZT
1,,,29.0,,92643.0,2025-06-04 12:44:42,transfer,card_out,,out,34387.7,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:00:10,transaction,,Едим дома,,4610.16,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:00:58,transaction,,Кафе и рестораны,,5635.01,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:40:05,transaction,,Кафе и рестораны,,5029.07,KZT
1,,,29.0,,92643.0,2025-06-04 18:20:46,transfer,card_out,,out,18031.61,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 19:00:08,transaction,,Кафе и рестораны,,15408.79,KZT
1,,,29.0,,92643.0,2025-06-05 11:43:55,transfer,card_out,,out,45609.76,KZT
1,,,29.0,,92643.0,2025-06-05 13:28:35,transfer,card_out,,out,10501.98,KZT
1,,,29.0,,92643.0,2025-06-05 17:29:05,transfer,utilities_out,,out,43108.03,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-05 19:00:39,transaction,,Кафе и рестораны,,5780.32,KZT
1,,,29.0,,92643.0,2025-06-05 19:30:13,transfer,p2p_out,,out,29058.01,KZT
1,,,29.0,,92643.0,2025-06-05 20:47:30,transfer,card_out,,out,7868.37,KZT
1,,,29.0,,92643.0,2025-06-06 10:49:39,transfer,card_out,,out,12844.37,KZT
1,,,29.0,,92643.0,2025-06-07 09:38:11,transfer,card_out,,out,13801.96,KZT
1,,,29.0,,92643.0,2025-06-07 10:31:13,transfer,card_out,,out,17198.44,KZT
1,,,29.0,,92643.0,2025-06-07 10:33:50,transfer,p2p_out,,out,23136.11,KZT
1,,,29.0,,92643.0,2025-06-07 10:49:58,transfer,p2p_out,,out,13345.18,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-07 12:10:37,transaction,,Продукты питания,,8455.81,KZT
1,,,29.0,,92643.0,2025-06-07 18:38:37,transfer,card_out,,out,11714.15,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-08 11:00:21,transaction,,Играем дома,,6371.07,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-08 12:10:04,transaction,,Продукты питания,,18377.32,KZT
1,,,29.0,,92643.0,2025-06-08 13:11:11,transfer,card_out,,out,9590.15,KZT
1,,,29.0,,92643.0,2025-06-08 13:25:46,transfer,card_out,,out,30538.57,KZT
1,,,29.0,,92643.0,2025-06-09 08:58:48,transfer,p2p_out,,out,31247.35,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 09:40:39,transaction,,Смотрим дома,,3120.13,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 11:50:51,transaction,,Смотрим дома,,4709.72,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 12:10:42,transaction,,Продукты питания,,16376.04,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 18:30:36,transaction,,АЗС,,11038.0,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-09 19:00:43,transaction,,Кафе и рестораны,,11841.11,KZT
1,,,29.0,,92643.0,2025-06-09 21:42:23,transfer,p2p_out,,out,39132.45,KZT
1,,,29.0,,92643.0,2025-06-10 11:25:43,transfer,p2p_out,,out,15359.74,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-10 11:30:08,transaction,,Играем дома,,3421.35,KZT
1,,,29.0,,92643.0,2025-06-10 16:31:28,transfer,card_out,,out,21815.96,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-10 17:20:07,transaction,,Смотрим дома,,4658.13,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-10 19:40:03,transaction,,Едим дома,,5473.4,KZT
1,,,29.0,,92643.0,2025-06-11 17:33:30,transfer,p2p_out,,out,14934.15,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-11 19:00:49,transaction,,Кафе и рестораны,,4871.81,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 11:30:02,transaction,,Кафе и рестораны,,7584.76,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 13:10:51,transaction,,Смотрим дома,,2749.59,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 15:40:21,transaction,,Кафе и рестораны,,8826.48,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 16:50:55,transaction,,Играем дома,,5907.11,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 17:30:34,transaction,,Играем дома,,4640.8,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-12 21:40:57,transaction,,Смотрим дома,,4246.22,KZT
1,,,29.0,,92643.0,2025-06-13 09:00:38,transfer,card_out,,out,14860.6,KZT
1,,,29.0,,92643.0,2025-06-13 13:40:31,transfer,card_out,,out,77292.54,KZT
1,,,29.0,,92643.0,2025-06-13 18:39:41,transfer,card_out,,out,12452.4,KZT
1,,,29.0,,92643.0,2025-06-14 09:02:04,transfer,card_out,,out,63016.38,KZT
1,,,29.0,,92643.0,2025-06-14 09:08:01,transfer,utilities_out,,out,22761.83,KZT
1,,,29.0,,92643.0,2025-06-14 12:02:39,transfer,card_out,,out,47981.31,KZT
1,,,29.0,,92643.0,2025-06-14 12:03:21,transfer,p2p_out,,out,25749.48,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-14 12:10:04,transaction,,Продукты питания,,16646.3,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-14 13:50:43,transaction,,Смотрим дома,,4223.9,KZT
1,,,29.0,,92643.0,2025-06-14 14:30:22,transfer,utilities_out,,out,24101.11,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-14 18:30:32,transaction,,АЗС,,21431.43,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 09:50:32,transaction,,Играем дома,,4675.19,KZT
1,,,29.0,,92643.0,2025-06-15 10:44:02,transfer,card_out,,out,20821.94,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 12:10:12,transaction,,Продукты питания,,14803.48,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-15 19:00:40,transaction,,Кафе и рестораны,,5725.94,KZT
1,,,29.0,,92643.0,2025-06-16 09:40:26,transfer,p2p_out,,out,20724.4,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-16 12:10:58,transaction,,Продукты питания,,16157.1,KZT
1,,,29.0,,92643.0,2025-06-16 13:15:57,transfer,card_out,,out,5968.18,KZT
