client_code,name,status,age,city,avg_monthly_balance_KZT,date,data_source,type,category,direction,amount,currency
1,,,29.0,,92643.0,2025-06-01 11:40:16,transfer,card_out,,out,9359.56,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-02 12:10:21,transaction,,Продукты питания,,18848.85,KZT
1,,,29.0,,92643.0,2025-06-02 13:10:59,transfer,card_out,,out,17590.68,KZT
1,,,29.0,,92643.0,2025-06-02 20:23:02,transfer,card_out,,out,19677.33,KZT
1,,,29.0,,92643.0,2025-06-03 09:50:44,transfer,card_out,,out,37686.28,KZT
1,,,29.0,,92643.0,2025-06-03 14:17:12,transfer,card_out,,out,7880.48,KZT
1,,,29.0,,92643.0,2025-06-03 14:54:58,transfer,p2p_out,,out,34847.69,KZT
1,,,29.0,,92643.0,2025-06-04 09:38:36,transfer,atm_withdrawal,,out,26017.05,KZT
1,,,29.0,,92643.0,2025-06-04 11:44:11,transfer,card_out,,out,15835.32,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 12:10:35,transaction,,Продукты питания,,12139.34,KZT
1,,,29.0,,92643.0,2025-06-04 12:44:42,transfer,card_out,,out,34387.7,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-04 17:00:10,transaction,,Едим дома,,4610.16,KZT
1,,,29.0,,92643.0,2025-06-04 18:20:46,transfer,card_out,,out,18031.61,KZT
1,,,29.0,,92643.0,2025-06-05 11:43:55,transfer,card_out,,out,45609.76,KZT
1,,,29.0,,92643.0,2025-06-05 13:28:35,transfer,card_out,,out,10501.98,KZT
1,,,29.0,,92643.0,2025-06-05 16:06:37,transfer,atm_withdrawal,,out,63623.16,KZT
1,,,29.0,,92643.0,2025-06-05 17:29:05,transfer,utilities_out,,out,43108.03,KZT
1,,,29.0,,92643.0,2025-06-05 19:30:13,transfer,p2p_out,,out,29058.01,KZT
1,,,29.0,,92643.0,2025-06-05 20:47:30,transfer,card_out,,out,7868.37,KZT
1,,,29.0,,92643.0,2025-06-06 10:49:39,transfer,card_out,,out,12844.37,KZT
1,,,29.0,,92643.0,2025-06-07 09:38:11,transfer,card_out,,out,13801.96,KZT
1,,,29.0,,92643.0,2025-06-07 10:31:13,transfer,card_out,,out,17198.44,KZT
1,,,29.0,,92643.0,2025-06-07 10:33:50,transfer,p2p_out,,out,23136.11,KZT
1,,,29.0,,92643.0,2025-06-07 10:49:58,transfer,p2p_out,,out,13345.18,KZT
1,,,29.0,,92643.0,2025-06-07 11:34:15,transfer,atm_withdrawal,,out,46745.77,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-07 12:10:37,transaction,,Продукты питания,,8455.81,KZT
1,,,29.0,,92643.0,2025-06-07 18:38:37,transfer,card_out,,out,11714.15,KZT
1,Айгерим,Зарплатный клиент,,Алматы,,2025-06-08 12:10:04,transaction,,Продукты питания,,18377.32,KZT
