client_code,name,status,age,city,avg_monthly_balance_KZT,date,data_source,type,category,direction,amount,currency
2,Данияр,Премиальный клиент,,Астана,,2025-06-01 09:30:25,transaction,,Кафе и рестораны,,5180.09,KZT
2,,,41.0,,1577073.0,2025-06-01 21:37:04,transfer,card_out,,out,54253.54,KZT
2,,,41.0,,1577073.0,2025-06-02 10:22:02,transfer,card_out,,out,23059.26,KZT
2,,,41.0,,1577073.0,2025-06-02 10:38:50,transfer,p2p_out,,out,10909.22,KZT
2,,,41.0,,1577073.0,2025-06-02 16:50:40,transfer,card_out,,out,9240.62,KZT
2,,,41.0,,1577073.0,2025-06-02 18:46:42,transfer,card_out,,out,23215.45,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-03 09:20:25,transaction,,Кафе и рестораны,,4774.58,KZT
2,,,41.0,,1577073.0,2025-06-03 11:20:34,transfer,card_out,,out,15402.5,KZT
2,,,41.0,,1577073.0,2025-06-04 13:48:06,transfer,p2p_out,,out,39729.46,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-04 19:00:13,transaction,,Кафе и рестораны,,8095.51,KZT
2,,,41.0,,1577073.0,2025-06-04 21:30:27,transfer,p2p_out,,out,21489.74,KZT
2,,,41.0,,1577073.0,2025-06-05 10:31:41,transfer,card_out,,out,19843.45,KZT
2,,,41.0,,1577073.0,2025-06-06 10:40:00,transfer,card_out,,out,39678.56,KZT
2,,,41.0,,1577073.0,2025-06-06 14:25:51,transfer,card_out,,out,24364.3,KZT
2,,,41.0,,1577073.0,2025-06-06 16:35:38,transfer,card_out,,out,27266.88,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-06 19:00:22,transaction,,Кафе и рестораны,,9302.96,KZT
2,,,41.0,,1577073.0,2025-06-06 19:32:36,transfer,atm_withdrawal,,out,23288.23,KZT
2,,,41.0,,1577073.0,2025-06-06 20:09:36,transfer,card_out,,out,34392.5,KZT
2,,,41.0,,1577073.0,2025-06-06 20:30:13,transfer,card_out,,out,26091.89,KZT
2,,,41.0,,1577073.0,2025-06-07 15:15:48,transfer,card_out,,out,14877.24,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-07 16:30:05,transaction,,Кафе и рестораны,,3061.14,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-07 19:00:07,transaction,,Кафе и рестораны,,6660.86,KZT
2,,,41.0,,1577073.0,2025-06-08 14:07:17,transfer,card_out,,out,14422.08,KZT
2,,,41.0,,1577073.0,2025-06-08 16:01:10,transfer,card_out,,out,52423.09,KZT
2,,,41.0,,1577073.0,2025-06-08 18:57:47,transfer,card_out,,out,16189.63,KZT
2,,,41.0,,1577073.0,2025-06-08 20:15:28,transfer,card_out,,out,15250.15,KZT
2,,,41.0,,1577073.0,2025-06-09 10:55:43,transfer,card_out,,out,14457.01,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-09 19:00:35,transaction,,Кафе и рестораны,,4350.07,KZT
2,,,41.0,,1577073.0,2025-06-09 21:28:09,transfer,card_out,,out,17148.82,KZT
2,,,41.0,,1577073.0,2025-06-10 20:32:24,transfer,card_out,,out,28714.72,KZT
2,,,41.0,,1577073.0,2025-06-11 19:00:25,transfer,card_out,,out,23741.18,KZT
2,,,41.0,,1577073.0,2025-06-11 21:26:21,transfer,card_out,,out,9153.28,KZT
2,,,41.0,,1577073.0,2025-06-12 20:59:23,transfer,card_out,,out,16493.8,KZT
2,,,41.0,,1577073.0,2025-06-13 12:48:29,transfer,card_out,,out,42698.92,KZT
2,,,41.0,,1577073.0,2025-06-13 18:57:18,transfer,p2p_out,,out,8330.25,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-13 19:00:53,transaction,,Кафе и рестораны,,8649.48,KZT
2,,,41.0,,1577073.0,2025-06-14 12:31:26,transfer,card_out,,out,10273.16,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-14 19:00:44,transaction,,Кафе и рестораны,,8902.0,KZT
2,,,41.0,,1577073.0,2025-06-14 21:14:49,transfer,p2p_out,,out,19408.59,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-15 09:10:15,transaction,,Кафе и рестораны,,6079.79,KZT
2,Данияр,Премиальный клиент,,Астана,,2025-06-15 10:30:29,transaction,,Кафе и рестораны,,5454.12,KZT
2,,,41.0,,1577073.0,2025-06-15 16:39:57,transfer,card_out,,out,45250.04,KZT
